n_nodes,turning_radius,instance_idx,aa_cost,glkh_cost,aa_time,glkh_time,relative_error,cost_ratio,seed,success
10,0.1,30,4.701558551184291,3.470476507986306,0.005497932434082031,1.5100131034851074,0.3547299745049426,1.3547299745049426,95,True
10,0.1,31,5.309158267386761,3.6284625521146894,0.0036058425903320312,1.422736406326294,0.4631977569377289,1.4631977569377288,96,True
10,0.1,32,4.772634403114261,3.7723614207216025,0.004820585250854492,1.254702091217041,0.2651583108919929,1.2651583108919928,97,True
10,0.1,33,5.420219833233125,3.7443101085077495,0.005173444747924805,1.5660252571105957,0.4475883877559728,1.4475883877559728,98,True
10,0.1,34,4.9214613868793995,3.923585357911536,0.00319671630859375,1.0583271980285645,0.2543275952836712,1.2543275952836712,99,True
10,0.1,35,4.2376815002419095,3.621933280663125,0.0031719207763671875,1.059283971786499,0.1700054009459969,1.1700054009459968,100,True
10,0.1,36,5.235925969752917,3.5381926477044883,0.005589485168457031,1.3217003345489502,0.479830662456971,1.479830662456971,101,True
10,0.1,37,5.3248384253638585,3.299984275750855,0.0049288272857666016,1.241818904876709,0.6135950902833568,1.613595090283357,102,True
10,0.1,38,4.457323361931287,3.2739651393449805,0.0055179595947265625,1.7072851657867432,0.36144496725553416,1.3614449672555342,103,True
10,0.1,39,4.575521987496907,3.653836631364583,0.0034804344177246094,1.2486696243286133,0.2522513864524112,1.2522513864524112,104,True
10,0.1,40,4.840471069301585,3.5113345638359634,0.0037293434143066406,1.1977612972259521,0.37852744627490126,1.3785274462749013,105,True
10,0.1,41,5.133415442138026,3.807112089165467,0.005506992340087891,1.312570333480835,0.3483751783266485,1.3483751783266484,106,True
10,0.1,42,5.315355526240333,3.8096485266850695,0.00319671630859375,0.897162675857544,0.395235148074261,1.395235148074261,107,True
10,0.1,43,4.5640354040533,3.3548910674283414,0.0032761096954345703,1.0576372146606445,0.3604123985914738,1.3604123985914738,108,True
10,0.1,44,5.140578663351776,3.6641852081188304,0.003006458282470703,1.4782772064208984,0.40292544491519205,1.402925444915192,109,True
10,0.1,45,4.97334779992799,3.653778367468367,0.003831624984741211,1.0405898094177246,0.36115201847175193,1.3611520184717518,110,True
10,0.1,46,5.764368954017813,3.143013028036814,0.004990100860595703,1.1112480163574219,0.8340264270614075,1.8340264270614075,111,True
10,0.1,47,4.9344328277848994,3.7319942384993157,0.002896547317504883,1.0389511585235596,0.32219733269714274,1.3221973326971428,112,True
10,0.1,48,5.109522199346317,3.3267775654654423,0.0030364990234375,1.0490360260009766,0.5358773163517637,1.5358773163517636,113,True
10,0.1,49,4.171299183789854,2.9827282897061607,0.003183126449584961,1.075150966644287,0.39848446745405147,1.3984844674540515,114,True
10,0.1,50,5.610265007683815,3.6727047416137295,0.0035088062286376953,1.5158753395080566,0.5275567741987209,1.5275567741987208,115,True
10,0.1,51,5.4176624543798955,4.137305105598127,0.002866029739379883,1.1248633861541748,0.30946650442804796,1.309466504428048,116,True
10,0.1,52,3.81985510671295,3.1163620465297344,0.0030052661895751953,1.2629683017730713,0.22574176224697626,1.2257417622469762,117,True
10,0.1,53,3.6817226223725688,3.4840258293817663,0.003622293472290039,0.9914987087249756,0.05674377937257812,1.056743779372578,118,True
10,0.1,54,5.030624263131708,3.70347730233659,0.003323078155517578,1.2293806076049805,0.35835158486263635,1.3583515848626364,119,True
10,0.1,55,5.707169078283394,3.445450657648143,0.005461692810058594,1.2968213558197021,0.6564361662282794,1.6564361662282794,120,True
10,0.1,56,4.480710546539667,3.4599216543653224,0.003670215606689453,1.1998958587646484,0.29503237187074255,1.2950323718707426,121,True
10,0.1,57,4.9163094813442445,3.41834837792128,0.003309011459350586,1.078160047531128,0.43821194852406603,1.438211948524066,122,True
10,0.1,58,5.180208871037798,3.6434946119548477,0.003671884536743164,1.5009000301361084,0.4217693238905204,1.4217693238905205,123,True
10,0.1,59,4.840634891294577,3.556761830407257,0.0029382705688476562,1.362379550933838,0.3609668350327281,1.3609668350327282,124,True
10,0.1,60,4.122046100796307,3.399370214022774,0.002996206283569336,1.1231560707092285,0.21259110990395114,1.2125911099039512,125,True
10,0.1,61,4.537172368633165,4.188246690252685,0.005822181701660156,1.2332897186279297,0.08331067966758873,1.0833106796675886,126,True
10,0.1,62,4.719936218933495,3.4515788491850756,0.005121469497680664,1.657947301864624,0.3674716485320569,1.3674716485320568,127,True
10,0.1,63,4.08858340728325,3.541297513593079,0.003118276596069336,1.006976842880249,0.15454389008250324,1.1545438900825031,128,True
10,0.2,0,8.735039298218767,5.208598791681815,0.004744768142700195,1.9074549674987793,0.6770420697729137,1.6770420697729136,129,True
10,0.2,1,7.083389914054188,5.773463018542298,0.0030574798583984375,1.5222809314727783,0.22688755280927128,1.2268875528092713,130,True
